membersPerDimension,AmountOfDimensions,AmountOfMeasures,maxFreeDimensions,maxMembers2Dice,amountViews,maxAmountViews
10,1,1,1,1,12,12
10,2,1,1,1,43,144
10,2,1,1,2,143,144
10,2,1,2,1,44,144
10,2,1,2,2,144,144
10,3,1,1,1,94,1728
10,3,1,1,2,694,1728
10,3,1,1,3,1694,1728
10,3,1,2,1,127,1728
10,3,1,2,2,727,1728
10,3,1,2,3,1727,1728
10,3,1,3,1,128,1728
10,3,1,3,2,728,1728
10,3,1,3,3,1728,1728
10,4,1,1,1,165,20736
10,4,1,1,2,1965,20736
10,4,1,1,3,9965,20736
10,4,1,1,4,19965,20736
10,4,1,2,1,291,20736
10,4,1,2,2,2691,20736
10,4,1,2,3,10691,20736
10,4,1,2,4,20691,20736
10,4,1,3,1,335,20736
10,4,1,3,2,2735,20736
10,4,1,3,3,10735,20736
10,4,1,3,4,20735,20736
10,4,1,4,1,336,20736
10,4,1,4,2,2736,20736
10,4,1,4,3,10736,20736
10,4,1,4,4,20736,20736
10,5,1,1,1,256,248832
10,5,1,1,2,4256,248832
10,5,1,1,3,34256,248832
10,5,1,1,4,134256,248832
10,5,1,1,5,234256,248832
10,5,1,2,1,566,248832
10,5,1,2,2,7566,248832
10,5,1,2,3,47566,248832
10,5,1,2,4,147566,248832
10,5,1,2,5,247566,248832
10,5,1,3,1,776,248832
10,5,1,3,2,8776,248832
10,5,1,3,3,48776,248832
10,5,1,3,4,148776,248832
10,5,1,3,5,248776,248832
10,5,1,4,1,831,248832
10,5,1,4,2,8831,248832
10,5,1,4,3,48831,248832
10,5,1,4,4,148831,248832
10,5,1,4,5,248831,248832
10,5,1,5,1,832,248832
10,5,1,5,2,8832,248832
10,5,1,5,3,48832,248832
10,5,1,5,4,148832,248832
10,5,1,5,5,248832,248832
10,6,1,1,1,367,2985984
10,6,1,1,2,7867,2985984
10,6,1,1,3,87867,2985984
10,6,1,1,4,537867,2985984
10,6,1,1,5,1737867,2985984
10,6,1,1,6,2737867,2985984
10,6,1,2,1,982,2985984
10,6,1,2,2,17482,2985984
10,6,1,2,3,157482,2985984
10,6,1,2,4,757482,2985984
10,6,1,2,5,1957482,2985984
10,6,1,2,6,2957482,2985984
10,6,1,3,1,1602,2985984
10,6,1,3,2,24102,2985984
10,6,1,3,3,184102,2985984
10,6,1,3,4,784102,2985984
10,6,1,3,5,1984102,2985984
10,6,1,3,6,2984102,2985984
10,6,1,4,1,1917,2985984
10,6,1,4,2,25917,2985984
10,6,1,4,3,185917,2985984
10,6,1,4,4,785917,2985984
10,6,1,4,5,1985917,2985984
10,6,1,4,6,2985917,2985984
10,6,1,5,1,1983,2985984
10,6,1,5,2,25983,2985984
10,6,1,5,3,185983,2985984
10,6,1,5,4,785983,2985984
10,6,1,5,5,1985983,2985984
10,6,1,5,6,2985983,2985984
10,6,1,6,1,1984,2985984
10,6,1,6,2,25984,2985984
